O3,O3_8hrs,NO2,CO,SO2,PM10,PM2_5,Estacion,DateTime,Anio,Mes,Dia,Hora
,,23.0,77.0,1.0,88.0,36.0,santa,2024-01-09 23:00:00,2024,1,9,23
,,23.0,95.0,1.0,87.0,38.0,santa,2024-01-10 00:00:00,2024,1,10,0
,,20.0,111.00000000000001,1.0,73.0,39.0,santa,2024-01-10 01:00:00,2024,1,10,1
,,16.0,117.0,1.0,64.0,36.0,santa,2024-01-10 02:00:00,2024,1,10,2
,,9.0,115.99999999999999,1.0,55.0,29.0,santa,2024-01-10 03:00:00,2024,1,10,3
,,7.0,111.00000000000001,1.0,36.0,21.0,santa,2024-01-10 04:00:00,2024,1,10,4
,,5.0,102.0,1.0,28.0,18.0,santa,2024-01-10 05:00:00,2024,1,10,5
3.0,,8.0,86.0,1.0,25.0,18.0,santa,2024-01-10 06:00:00,2024,1,10,6
3.0,,11.0,70.0,1.0,28.0,18.0,santa,2024-01-10 07:00:00,2024,1,10,7
3.0,,13.0,57.99999999999999,1.0,37.0,17.0,santa,2024-01-10 08:00:00,2024,1,10,8
3.0,,10.0,46.0,1.0,39.0,13.0,santa,2024-01-10 09:00:00,2024,1,10,9
4.0,,7.0,40.0,1.0,43.0,13.0,santa,2024-01-10 10:00:00,2024,1,10,10
4.0,3.0,8.0,37.0,1.0,43.0,,santa,2024-01-10 11:00:00,2024,1,10,11
5.0,4.0,8.0,36.0,1.0,50.0,,santa,2024-01-10 12:00:00,2024,1,10,12
6.0,4.0,8.0,36.0,1.0,61.0,8.0,santa,2024-01-10 13:00:00,2024,1,10,13
,4.0,,37.0,1.0,61.0,8.0,santa,2024-01-10 14:00:00,2024,1,10,14
10.0,5.0,8.0,34.0,1.0,66.0,8.0,santa,2024-01-10 15:00:00,2024,1,10,15
9.0,6.0,8.0,27.0,1.0,78.0,13.0,santa,2024-01-10 16:00:00,2024,1,10,16
8.0,7.0,9.0,23.0,1.0,94.0,22.0,santa,2024-01-10 17:00:00,2024,1,10,17
7.0,7.0,12.0,22.0,1.0,78.0,26.0,santa,2024-01-10 18:00:00,2024,1,10,18
4.0,7.0,15.0,24.0,1.0,65.0,25.0,santa,2024-01-10 19:00:00,2024,1,10,19
3.0,7.0,15.0,28.000000000000004,1.0,57.0,23.0,santa,2024-01-10 20:00:00,2024,1,10,20
3.0,6.0,16.0,33.0,1.0,49.0,21.0,santa,2024-01-10 21:00:00,2024,1,10,21
3.0,6.0,13.0,35.0,1.0,46.0,17.0,santa,2024-01-10 22:00:00,2024,1,10,22
3.0,5.0,18.0,40.0,1.0,42.0,18.0,santa,2024-01-10 23:00:00,2024,1,10,23
3.0,4.0,16.0,44.0,1.0,42.0,16.0,santa,2024-01-11 00:00:00,2024,1,11,0
3.0,4.0,16.0,47.0,1.0,34.0,21.0,santa,2024-01-11 01:00:00,2024,1,11,1
3.0,3.0,16.0,51.0,1.0,47.0,28.0,santa,2024-01-11 02:00:00,2024,1,11,2
3.0,3.0,16.0,54.0,1.0,56.0,29.0,santa,2024-01-11 03:00:00,2024,1,11,3
3.0,3.0,16.0,54.0,1.0,56.0,34.0,santa,2024-01-11 04:00:00,2024,1,11,4
3.0,3.0,15.0,53.0,1.0,52.0,35.0,santa,2024-01-11 05:00:00,2024,1,11,5
3.0,3.0,14.0,54.0,1.0,55.0,35.0,santa,2024-01-11 06:00:00,2024,1,11,6
4.0,3.0,14.0,54.0,1.0,57.0,34.0,santa,2024-01-11 07:00:00,2024,1,11,7
4.0,3.0,15.0,60.0,1.0,64.0,32.0,santa,2024-01-11 08:00:00,2024,1,11,8
3.0,3.0,18.0,68.0,1.0,78.0,29.0,santa,2024-01-11 09:00:00,2024,1,11,9
3.0,3.0,21.0,74.0,1.0,75.0,26.0,santa,2024-01-11 10:00:00,2024,1,11,10
3.0,3.0,16.0,75.0,1.0,66.0,18.0,santa,2024-01-11 11:00:00,2024,1,11,11
4.0,3.0,11.0,73.0,1.0,61.0,17.0,santa,2024-01-11 12:00:00,2024,1,11,12
